DateTime,Name,Country,Volatility,Actual,Previous,Consensus
11/09/2017 00:01:00,RICS Housing Price Balance,United Kingdom,2,1.000,6.000,4.000
11/09/2017 00:30:00,Home Loans,Australia,2,-2.300,1.000,3.000
11/09/2017 00:30:00,Investment Lending for Homes,Australia,2,-6.200,4.300,
11/09/2017 01:30:00,Consumer Price Index (MoM),China,2,0.100,0.500,0.200
11/09/2017 01:30:00,Producer Price Index (YoY),China,2,6.900,6.900,6.600
11/09/2017 01:30:00,Consumer Price Index (YoY),China,2,1.900,1.600,1.800
11/09/2017 05:00:00,Eco Watchers Survey: Outlook,Japan,2,54.900,51.000,51.200
11/09/2017 05:00:00,Eco Watchers Survey: Current,Japan,2,52.200,51.300,50.700
11/09/2017 06:45:00,Unemployment Rate s.a (MoM),Switzerland,2,3.100,3.100,3.100
11/09/2017 07:00:00,Current Account n.s.a.,Germany,2,25.400,17.800,25.000
11/09/2017 07:00:00,Exports (MoM),Germany,2,-0.400,3.100,-1.100
11/09/2017 07:00:00,Trade Balance s.a.,Germany,2,21.800,21.600,21.100
11/09/2017 07:00:00,Imports (MoM),Germany,2,-1.000,1.200,0.300
11/09/2017 09:00:00,Economic Bulletin,European Monetary Union,2,,,
11/09/2017 10:00:00,European Commission Releases Economic Growth Forecasts,European Monetary Union,2,,,
11/09/2017 10:00:00,ECB Cœuré Speech,European Monetary Union,2,,,
11/09/2017 13:30:00,Continuing Jobless Claims,United States,2,1.901,1.884,1.890
11/09/2017 13:30:00,Initial Jobless Claims,United States,2,239.000,229.000,231.000
11/09/2017 13:30:00,New Housing Price Index (YoY),Canada,1,3.800,3.800,
11/09/2017 13:30:00,New Housing Price Index (MoM),Canada,1,0.200,0.100,0.200
11/09/2017 13:45:00,ECB Vice President Vitor Constancio speech,European Monetary Union,2,,,
11/09/2017 15:00:00,Wholesale Inventories,United States,1,0.300,0.300,0.300
11/09/2017 15:30:00,EIA Natural Gas Storage change,United States,1,15.000,65.000,15.000
11/09/2017 16:30:00,SNB Chairman Jordan Speech,Switzerland,2,,,
11/09/2017 18:00:00,30-Year Bond Auction,United States,1,2.801,2.870,
11/09/2017 18:00:00,German Buba President Weidmann speech,Germany,2,,,
11/09/2017 18:20:00,ECB's Lautenschläger Speech,European Monetary Union,2,,,
11/09/2017 21:45:00,Electronic Card Retail Sales  (MoM),New Zealand,2,0.300,0.100,0.600
11/09/2017 21:45:00,Electronic Card Retail Sales (YoY),New Zealand,2,1.200,2.900,
11/09/2017 23:50:00,Money Supply M2+CD (YoY),Japan,1,4.100,4.100,4.100
11/10/2017 00:00:00,Veterans Day (Observed),United States,0,,,
11/10/2017 00:30:00,RBA Monetary Policy Statement,Australia,3,,,
11/10/2017 04:30:00,Tertiary Industry Index (MoM),Japan,2,-0.200,-0.200,-0.100
11/10/2017 07:45:00,Industrial Output (MoM),France,1,0.600,-0.300,0.600
11/10/2017 07:45:00,Nonfarm Payrolls (QoQ),France,1,0.200,0.400,0.300
11/10/2017 09:00:00,Industrial Output s.a. (MoM),Italy,1,-1.300,1.200,-0.300
11/10/2017 09:00:00,Industrial Output w.d.a (YoY),Italy,1,2.400,5.700,4.800
11/10/2017 09:30:00,Industrial Production (YoY),United Kingdom,2,2.500,1.600,1.900
11/10/2017 09:30:00,Manufacturing Production (MoM),United Kingdom,2,0.700,0.400,0.300
11/10/2017 09:30:00,Industrial Production (MoM),United Kingdom,2,0.700,0.200,0.300
11/10/2017 09:30:00,Manufacturing Production (YoY),United Kingdom,2,2.700,2.800,2.400
11/10/2017 09:30:00,Trade Balance; non-EU,United Kingdom,1,-2.980,-5.835,-4.500
11/10/2017 09:30:00,Goods Trade Balance,United Kingdom,1,-11.250,-14.245,-12.800
11/10/2017 09:30:00,Total Trade Balance,United Kingdom,1,-2.750,-5.626,-4.600
11/10/2017 13:00:00,NIESR GDP Estimate (3M),United Kingdom,2,0.500,0.400,
11/10/2017 15:00:00,Michigan Consumer Sentiment Index,United States,1,97.800,100.700,100.700
11/10/2017 18:00:00,Baker Hughes US Oil Rig Count,United States,2,738.000,729.000,
11/11/2017 00:00:00,Armistice Day,France,0,,,
11/11/2017 00:00:00,Veterans Day,United States,0,,,
11/12/2017 23:50:00,Domestic Corporate Goods Price Index (MoM),Japan,1,0.300,0.200,0.100
11/12/2017 23:50:00,Domestic Corporate Goods Price Index (YoY),Japan,1,3.400,3.000,3.100
11/13/2017 00:00:00,Remembrance Day,Canada,0,,,
11/13/2017 00:01:00,Rightmove House Price Index (MoM),United Kingdom,1,-0.800,1.100,
11/13/2017 00:01:00,Rightmove House Price Index (YoY),United Kingdom,1,1.100,1.400,
11/13/2017 00:10:00,FOMC Member Harker Speech,United States,2,,,
11/13/2017 02:00:00,M2 Money Supply (YoY),China,1,8.800,9.200,9.200
11/13/2017 02:00:00,New Loans,China,1,663.200,1270.000,780.000
11/13/2017 06:00:00,Machine Tool Orders (YoY),Japan,1,49.900,45.300,
11/13/2017 07:00:00,Wholesale Price Index (YoY),Germany,2,3.000,3.400,
11/13/2017 07:00:00,Wholesale Price Index (MoM),Germany,2,0.000,0.600,0.400
11/13/2017 09:00:00,ECB Vice President Vitor Constancio speech,European Monetary Union,2,,,
11/13/2017 16:30:00,3-Month Bill Auction,United States,1,1.240,1.185,
11/13/2017 16:30:00,6-Month Bill Auction,United States,1,1.360,1.300,
11/13/2017 17:45:00,Bank of Japan Governor Kuroda Speech,Japan,3,,,
11/13/2017 19:00:00,Monthly Budget Statement,United States,2,-63.000,8.000,-50.000
11/13/2017 20:30:00,CFTC Oil NC net positions,United States,1,545.200,502.900,
11/13/2017 20:30:00,CFTC GBP NC net positions,United Kingdom,1,-9.000,1.200,
11/13/2017 20:30:00,CFTC Gold NC net positions,United States,1,195.800,193.100,
11/13/2017 20:30:00,CFTC JPY NC net positions,Japan,1,-128.000,-118.900,
11/13/2017 20:30:00,CFTC USD NC net positions,United States,1,147.100,161.300,
11/13/2017 20:30:00,CFTC EUR NC net positions,European Monetary Union,1,85.000,72.100,
11/13/2017 20:30:00,CFTC AUD NC net positions,Australia,1,45.000,51.600,
11/14/2017 00:30:00,National Australia Bank's Business Confidence,Australia,1,8.000,7.000,
11/14/2017 00:30:00,National Australia Bank's Business Conditions,Australia,1,21.000,14.000,
11/14/2017 02:00:00,Retail Sales (YoY),China,2,10.000,10.300,10.400
11/14/2017 02:00:00,Industrial Production (YoY),China,2,6.200,6.600,6.300
11/14/2017 02:00:00,Fixed Asset Investment (YTD) (YoY),China,1,7.300,7.500,7.400
11/14/2017 07:00:00,Gross Domestic Product w.d.a (YoY),Germany,2,2.800,2.300,
11/14/2017 07:00:00,Consumer Price Index (YoY),Germany,1,1.600,1.600,1.600
11/14/2017 07:00:00,Harmonized Index of Consumer Prices (YoY),Germany,3,1.500,1.500,1.500
11/14/2017 07:00:00,Consumer Price Index (MoM),Germany,1,0.000,0.000,0.000
11/14/2017 07:00:00,Harmonized Index of Consumer Prices (MoM),Germany,1,-0.100,-0.100,-0.100
11/14/2017 07:00:00,Gross Domestic Product (QoQ),Germany,3,0.800,0.600,0.600
11/14/2017 07:00:00,Gross Domestic Product (YoY),Germany,2,2.300,0.800,2.300
